Latitude 	 Longitude 	 Weight 	 Continent
52.7494	-8.89838	1	Europe
14.4184	121.023	295	Asia
40.7721	30.394	5	Asia
52.131	-0.221245	2	Europe
41.1448	-81.3585	27	North America
36.104	-80.2453	12	North America
36.8913	30.7012	9	Asia
42.6851	13.765	3	Europe
44.9709	-93.2615	59	North America
56.3115	39.3693	1	Europe
37.9688	12.9749	6	Europe
25.7787	-100.168	42	North America
-2.17496	-79.9123	234	South America
48.2184	18.0203	1	Europe
-1.75211	-47.0704	2	South America
33.746	-85.8852	3	North America
33.216	-97.757	1	North America
37.0918	-89.5447	1	North America
54.1937	37.6289	92	Europe
-19.4495	-44.746	1	South America
49.2492	5.90404	5	Europe
-39.4888	-72.156	1	South America
57.7303	107.396	3	Europe
36.0297	-120.02	1	North America
20.3569	-102.76	1	North America
33.1078	-84.0019	1	North America
25.8705	-97.4944	20	North America
57.1808	24.7024	7	Europe
-0.920356	122.256	2	Asia
51.4463	-1.28491	2	Europe
-3.97212	122.578	16	Asia
25.7111	-103.504	1	North America
39.0431	-121.578	2	North America
-6.162	106.338	9	Asia
47.3209	4.48968	1	Europe
-20.087	-40.8168	1	South America
-29.9006	30.9726	44	Africa
-4.36208	-38.0899	1	South America
-25.4416	-53.4253	1	South America
32.8866	13.204	1	Africa
-33.3056	-70.7284	42	South America
59.1569	15.4666	1	Europe
43.8527	1.37204	12	Europe
52.9077	1.10694	1	Europe
57.1808	-2.46897	1	Europe
53.8589	-6.53749	4	Europe
20.7153	-100.441	134	North America
45.7263	-93.7408	1	North America
18.8352	-95.8132	1	North America
53.271	16.4833	1	Europe
-8.15643	112.085	4	Asia
-6.41379	-36.1914	2	South America
-20.1651	-47.4249	3	South America
41.7427	-85.3503	1	North America
35.9974	138.164	2	Asia
-22.6133	-43.7186	722	South America
-8.45547	115.072	29	Asia
36.8687	-2.3737	11	Europe
45.8586	1.23198	26	Europe
52.1455	-9.86933	3	Europe
50.5841	21.686	2	Europe
37.7783	-79.985	4	North America
13.6883	-89.1493	114	North America
18.1355	-94.4325	16	North America
49.2042	-0.332246	27	Europe
59.676	9.64238	1	Europe
43.4679	6.68943	12	Europe
43.4586	6.84846	3	Europe
38.4125	16.0591	2	Europe
52.5179	-8.05519	1	Europe
51.9542	-0.815809	5	Europe
9.56162	123.81	4	Asia
47.4505	-122.161	12	North America
44.3281	2.42905	1	Europe
57.5289	52.9915	1	Europe
47.515	42.1656	1	Europe
18.5289	-72.2888	1	North America
51.367	0.0664171	52	Europe
49.5307	7.32073	1	Europe
34.3651	132.317	5	Asia
41.3118	-81.3451	3	North America
53.3181	6.88354	1	Europe
40.0052	-4.63267	1	Europe
-2.53597	112.907	2	Asia
33.1257	-96.1039	2	North America
49.1696	-113.291	1	North America
-3.0098	-55.195	25	South America
43.8362	7.77566	6	Europe
46.7884	5.19047	1	Europe
41.2308	14.7127	4	Europe
42.5404	3.05067	4	Europe
45.6992	-122.646	17	North America
36.1605	-107.469	1	North America
34.1798	-84.8011	3	North America
20.0802	-98.3704	6	North America
-27.458	153.038	40	Oceania
40.2778	-85.5412	3	North America
-28.3896	-54.8743	4	South America
51.9494	5.20622	35	Europe
30.4782	-69.9219	1	NULL
20.4932	-89.7131	1	North America
45.2865	11.5667	1	Europe
-23.0651	-51.0559	1	South America
40.7319	-122.319	2	North America
51.1971	6.44682	3	Europe
57.6016	-4.87113	3	Europe
