Latitude 	 Longitude 	 Weight 	 Continent
34.7728	-96.6528	8	North America
50.0304	36.2269	5	Europe
3.81151	100.814	3	Asia
-22.5582	-55.7079	2	South America
47.0174	-120.538	16	North America
-6.80358	106.773	9	Asia
9.73597	-63.2205	6	South America
10.6585	-63.2531	4	South America
30.539	-97.5488	59	North America
39.4678	-74.5403	65	North America
1.47022	103.756	630	Asia
40.4755	-95.7312	1	North America
53.394	-114.226	8	North America
-25.41	-70.4831	1	South America
48.6959	7.36863	1	Europe
37.5447	-79.0883	2	North America
-27.6534	-51.0923	105	South America
47.1923	-122.239	85	North America
34.3896	-84.3092	1	North America
3.53036	98.1441	1	Asia
37.978	23.7105	1	Europe
37.5025	15.0878	3	Europe
29.9849	-90.4101	45	North America
37.984	-120.378	4	North America
32.2506	-101.447	2	North America
43.6747	5.49805	5	Europe
53.1999	-2.53345	4	Europe
31.6273	-85.9457	3	North America
29.9452	-91.773	10	North America
18.4735	73.8151	8	Asia
51.6343	5.95179	46	Europe
33.8055	-101.837	2	North America
41.7651	-89.6941	1	North America
34.5829	-118.137	196	North America
6.08409	116.165	22	Asia
31.8183	-106.547	168	North America
-39.8944	175.075	1	Oceania
54.2853	-1.58657	2	Europe
36.6375	-4.69116	14	Europe
42.9198	0.206294	1	Europe
46.432	-90.2394	1	North America
50.6645	6.21891	3	Europe
40.3716	-79.9274	466	North America
43.1932	-76.2053	12	North America
53.1151	6.02796	36	Europe
3.01697	-60.6432	2	South America
52.4187	0.769757	1	Europe
-29.3292	-51.5004	58	South America
19.2732	73.0423	5	Asia
38.5052	-78.8444	47	North America
41.8341	-90.2038	1	North America
30.5051	-84.2089	115	North America
-27.8012	-50.3147	1	South America
49.4015	2.85486	12	Europe
50.3998	1.56621	1	Europe
33.4684	-82.2156	43	North America
43.2448	6.1188	5	Europe
24.2188	55.6894	3	Asia
-24.6515	25.6949	1	Africa
40.7146	17.7768	1	Europe
-23.1018	-54.0488	1	South America
26.162	-98.1776	26	North America
6.79309	-1.09098	1	Africa
50.2478	3.92045	8	Europe
40.4542	-124.057	1	North America
32.4717	-89.4343	4	North America
44.4267	-73.0869	4	North America
41.6836	12.7771	7	Europe
-26.5979	28.4205	1	Africa
36.7455	-108.347	12	North America
36.772	-119.879	126	North America
-33.2695	-70.747	10	South America
34.8991	-76.9211	6	North America
52.2415	13.441	1	Europe
29.3358	48.0346	83	Asia
34.5633	-117.961	7	North America
42.4504	-85.6746	1	North America
44.9709	-93.2615	295	North America
46.1964	3.41109	10	Europe
-6.77694	110.988	4	Asia
4.33768	103.483	1	Asia
34.2212	-92.065	54	North America
25.7905	55.9879	1	Asia
32.0113	-110.951	57	North America
39.8833	-87.4066	1	North America
