Tweet Id 	 Latitude 	 Longitude
1526	42.3527	-83.0992	
1531	33.5334	-112.095	
1563	-23.6828	-46.5955	
1575	34.0922	-117.589	
1593	39.9635	-75.1592	
1594	51.4485	5.453	
1595	43.0126	-83.6963	
1599	47.2409	-1.52674	
1602	45.7578	4.8351	
1616	42.6526	-78.7555	
1619	34.01	-118.335	
1620	43.1826	-77.572	
1632	27.9599	-82.4774	
1648	40.6974	-73.9797	
1651	48.8863	2.26516	
1661	52.3834	13.1196	
1666	42.7801	-71.4664	
1698	50.9471	4.07339	
1703	-30.0997	-51.1593	
1705	51.5207	-0.142822	
1715	52.0473	6.10264	
1725	48.9059	2.39309	
1728	51.5207	-0.142822	
1729	32.5787	-84.2406	
1733	3.14845	101.705	
1741	38.0232	-121.331	
1745	19.3265	-69.5465	
1756	48.6255	2.54873	
1762	35.2035	-80.836	
1770	21.0487	-87.0318	
1779	42.3747	-83.1317	
1784	21.4984	-158.068	
1801	47.613	-122.342	
1805	47.613	-122.342	
1809	42.3855	-71.0905	
1819	-2.57242	-59.9803	
1827	34.5829	-118.137	
1834	35.7176	-79.8706	
1847	29.5221	-98.5211	
1854	51.9863	5.0955	
1861	34.2564	-77.902	
1864	42.0573	-87.8341	
1866	-23.6828	-46.5955	
1871	-2.57242	-59.9803	
1878	27.9598	-82.4773	
1879	39.969	-75.3541	
1881	29.6798	-95.6161	
1887	34.3263	-90.4545	
1891	52.3834	13.1196	
1898	51.5207	-0.142822	
1907	30.4391	-97.7752	
1911	37.1367	27.3426	
1918	43.6293	-79.2725	
1933	-22.916	-43.4474	
1945	20.9516	-103.027	
1948	52.3834	13.1196	
1949	48.9846	2.41479	
1952	48.8588	2.34693	
1957	52.3871	13.1165	
1958	38.8048	-77.237	
1960	38.8048	-77.237	
1982	39.467	-76.3223	
1989	28.6252	-81.4373	
1991	-23.6828	-46.5955	
1993	45.184	5.71568	
2002	25.7558	-80.2957	
2004	34.0923	-117.589	
2022	39.857	-84.1133	
2024	5.40736	100.334	
2047	-22.916	-43.4474	
2063	39.7666	-86.4413	
2073	-6.16896	106.827	
2074	51.5759	0.07423	
2081	52.3871	13.1165	
2084	33.2191	-87.5434	
2085	38.9024	-77.012	
2086	52.3834	13.1196	
2090	-5.18745	-37.3473	
2095	-22.8437	-47.2618	
2098	41.8338	-87.7319	
2102	48.8588	2.34701	
2103	33.6958	-84.4504	
2109	29.2103	-81.0967	
2113	33.5174	-90.194	
2118	39.7666	-86.4413	
2119	39.9839	-75.1651	
2120	41.9352	-88.7825	
2128	35.8305	-85.9786	
2129	-22.916	-43.4474	
2142	40.3564	-75.9688	
2145	36.8668	-76.2856	
2150	39.2847	-76.6204	
2162	45.184	5.71568	
2163	52.3871	13.1165	
2170	52.3834	13.1196	
2175	52.3834	13.1196	
2203	48.8588	2.34701	
2205	40.6975	-73.9797	
2219	-19.4455	-42.6011	
2221	37.6515	-122.423	
2222	7.89404	98.2989	
2230	48.7998	2.4919	
2240	40.0485	-75.1616	
2242	39.7666	-86.4413	
2243	51.5207	-0.142822	
2262	38.2689	-78.8243	
2272	32.6782	-83.1783	
2273	40.0487	-75.1614	
2291	-22.9195	-43.0731	
2316	-26.2617	-48.9665	
2318	51.342	1.4269	
2320	35.1705	-79.861	
2326	-23.5542	-46.6816	
2340	3.14845	101.705	
2341	38.9538	-92.3394	
2350	38.8524	-76.8736	
2372	-23.2011	-46.9084	
2373	42.7087	-84.5209	
2390	-25.4951	-49.2884	
2410	3.14845	101.705	
2433	52.0054	5.89657	
2436	35.3377	-80.7537	
2451	37.6868	-122.472	
2452	32.5333	-92.0465	
2456	51.5207	-0.142822	
2466	46.2628	0.303111	
2490	51.5207	-0.142822	
2505	39.4207	26.8072	
2521	42.6866	-8.98969	
2523	6.63443	3.34626	
2530	34.9804	-81.014	
2533	55.8077	37.5205	
2543	9.08836	7.49223	
2548	-7.72437	110.395	
2549	40.2628	-75.6091	
2571	45.5642	-122.626	
2573	38.9738	-92.3019	
2575	39.9709	-75.2438	
2591	51.5207	-0.142822	
2597	42.714	2.88332	
2601	-6.26634	106.971	
2602	52.5456	13.4104	
2603	38.8936	-77.0146	
2634	6.63443	3.34626	
2638	41.0843	-81.513	
2640	40.6252	-75.366	
2651	41.4751	-81.5504	
2654	41.3963	-72.0859	
2656	38.8766	-77.0004	
2666	29.8239	-95.4621	
2668	33.6245	-80.9266	
2671	38.3941	-82.3995	
2692	41.4751	-81.5504	
2713	48.8588	2.34693	
2732	25.7685	-80.3719	
2749	52.3834	13.1196	
2753	48.0238	0.33481	
2754	51.5207	-0.142822	
2761	52.3834	13.1196	
2776	54.6138	39.8799	
2780	46.8415	-71.3703	
2791	51.5207	-0.142822	
2794	-22.916	-43.4474	
2796	32.6782	-83.1783	
2805	38.0378	-84.501	
2809	34.0209	-118.211	
2815	33.6613	-83.9845	
2820	40.7809	-73.9772	
2827	29.1679	-81.0037	
2828	52.3834	13.1196	
2830	51.5207	-0.142822	
2831	39.7681	-75.8815	
2835	46.8415	-71.3703	
2851	41.7656	-72.6803	
2853	52.4875	4.66202	
