Tweet Id 	 Latitude 	 Longitude
4430	52.4039	-1.97703	
4453	34.9091	-82.2144	
4471	-6.9205	107.632	
4473	49.1994	-122.913	
4500	51.5207	-0.142822	
4545	49.1994	-122.913	
4561	39.4207	26.8072	
4591	51.5207	-0.142822	
4627	51.5207	-0.142822	
4701	51.5207	-0.142822	
4711	51.5207	-0.142822	
4712	51.5207	-0.142822	
4800	49.1994	-122.913	
4817	49.1994	-122.913	
4859	49.1994	-122.913	
4872	51.5207	-0.142822	
4902	33.7301	-116.225	
4903	33.7301	-116.225	
5015	51.5207	-0.142822	
5048	51.5207	-0.142822	
5056	29.4787	-98.6278	
5123	51.5207	-0.142822	
5125	49.1994	-122.913	
5127	49.1994	-122.913	
5129	49.1994	-122.913	
5148	3.15569	101.761	
5162	-23.6828	-46.5955	
5209	52.3871	13.1165	
5231	52.3871	13.1165	
5269	-30.0997	-51.1593	
5270	51.5207	-0.142822	
5286	51.5207	-0.142822	
5320	39.4207	26.8072	
5410	-5.79931	-35.2216	
5446	51.5207	-0.142822	
5484	51.5207	-0.142822	
5535	51.5207	-0.142822	
5579	51.5207	-0.142822	
5724	51.5207	-0.142822	
5735	39.4207	26.8072	
5760	39.4207	26.8072	
5802	52.3834	13.1196	
5812	51.5207	-0.142822	
5825	51.5207	-0.142822	
5857	51.5207	-0.142822	
5924	42.9883	12.7815	
5975	51.453	-0.0600119	
6008	49.1994	-122.913	
6010	49.1994	-122.913	
6042	52.3798	9.76148	
6043	52.3834	13.1196	
6049	51.5207	-0.142822	
6050	-23.6828	-46.5955	
6062	51.5207	-0.142822	
6093	33.8111	-84.5636	
6142	51.5207	-0.142822	
6144	39.4207	26.8072	
6170	51.5207	-0.142822	
6234	49.1994	-122.913	
6239	-23.54	-46.3466	
6262	51.5207	-0.142822	
6302	51.5207	-0.142822	
6326	51.5207	-0.142822	
6356	51.5207	-0.142822	
6403	28.2072	-82.7484	
6417	39.0718	-77.1247	
6421	51.5207	-0.142822	
6481	-27.4688	153.023	
